"genus_id","synonym_id"
24904,8834
20529,8942
25483,8908
8806,9075
8807,9075
16180,8942
15974,8972
24940,8822
24906,8935
20530,8942
20539,8815
8812,9028
8813,8838
20531,8942
20519,9020
20518,8982
24941,9037
24942,8952
20499,9037
20493,8933
8826,8942
15193,8942
8828,9075
20511,8829
20509,8829
20510,8829
20514,8829
20532,8942
20533,8942
8832,8930
24908,8834
14176,22085
24969,8883
24911,9052
8841,9075
24912,8942
20496,8895
8843,8942
8845,8942
20494,8933
8847,8848
8849,9075
8854,8942
8855,8942
24970,8942
8859,9075
24905,8804
24971,8942
8861,8937
20520,9020
24420,9037
8869,8942
24924,8848
20521,8918
8874,9075
20534,8942
20983,8942
24972,8942
25196,8883
20503,8904
17374,9022
17501,8942
25197,8986
24907,8825
20512,8829
8884,9075
8885,9075
24973,8942
8886,9037
8888,9037
16181,8894
22084,8889
8890,9075
8892,9075
16182,8942
24974,8942
24975,8942
20491,9064
8898,9075
20538,8937
24976,8942
8901,9075
8902,9037
25198,9075
24913,9064
24977,8942
20528,8988
24978,8925
8910,9069
24979,9111
24914,8942
8320,9067
20490,8819
8912,8920
24981,8942
8914,9075
8917,9075
25199,9075
20498,9037
20505,9046
8921,9028
8922,8920
20527,9041
14801,8814
8923,8814
24982,8942
23239,8872
20506,9011
24986,8942
25834,8933
24983,8942
24984,8822
24985,8942
8929,8818
24987,8822
8934,9075
24918,9052
8343,8829
20516,8825
8939,8942
16183,8942
22086,8920
25186,9075
24989,8933
24990,9075
24988,8942
24926,8822
8947,9075
25187,9075
8951,8937
25188,9106
24991,8822
8953,9075
24992,8983
24910,8839
24993,8959
24994,8942
24996,8942
15975,8972
8957,9075
8958,9075
24995,8942
20526,8930
24997,8942
8963,9075
8964,8818
8966,8942
20979,9007
8974,9075
15976,8972
25189,8960
8384,9064
24998,8942
8984,9075
8985,8933
24999,9037
17508,8962
25194,8822
24915,8918
20500,8971
24927,8838
8990,9028
20535,8942
8993,9075
25000,8829
8994,9075
8995,9075
25503,9075
25001,8942
8997,9075
8998,9075
25002,8825
17370,8905
17375,8836
9003,8935
9004,9075
25003,8942
24916,8918
16184,9007
25190,8986
20497,8895
9009,9075
23579,8839
25004,8942
24419,8937
9012,8942
9013,9075
18164,8872
24922,8977
23240,8872
9017,9028
24928,8942
24923,9106
20525,8930
20513,8829
24920,8942
9018,9075
25191,9076
9019,9075
20508,8829
20502,9006
20507,9052
9024,9075
25005,9005
9026,9075
9027,9075
25006,8942
9029,9075
25007,9005
9031,8942
9032,8942
25008,8942
17746,8942
24919,8937
25009,8942
20984,8942
9036,8942
24909,8839
25010,8942
25480,8825
20524,9042
20523,9042
20536,8942
16185,8933
24921,8942
20980,8942
9049,8937
20537,8977
9051,9037
20515,9093
9054,9075
9055,9075
9056,9075
20981,8942
25011,8942
25192,9075
25012,8942
9058,8926
20501,8903
25193,8822
25013,9064
9065,9044
25195,9037
17747,9037
9071,8942
25014,8822
17369,8937
20504,9106
9079,9075
9080,8818
25015,8822
17372,8949
20495,8933
9081,8920
24925,8942
9083,9075
20540,8809
9084,9075
9087,9075
9088,9075
9089,9075
25168,8942
9091,8942
17371,8862
9092,9075
20541,8986
9097,9075
9098,8834
9102,8860
25016,8899
20982,8942
25169,9037
20522,8952
9105,9014
9108,9075
9109,9075
20492,9064
21644,13502
21649,13508
21651,13508
21650,13508
21629,13504
24122,13506
21607,13490
21630,13527
21642,13522
24120,13490
21641,13522
21658,13521
21664,13521
21652,13508
21653,13508
21639,13510
21654,13508
21631,13527
21640,13510
21637,13510
21646,16718
21663,13511
21666,13501
24121,13528
21633,13528
25697,13508
21606,13491
13516,22236
21655,13508
21643,13522
21647,16718
13520,13508
15949,13508
21638,13510
21656,13508
25702,13521
21648,16718
21659,13521
21608,13489
25728,13522
21660,13521
21635,13528
21657,13508
21626,13512
21661,13521
21645,13513
