"id","epithet","author"
1,"Acanthaceae","Juss."
2,"Aceraceae",""
3,"Achariaceae","Harms"
4,"Achatocarpaceae","Heimerl"
5,"Acoraceae","Martinov"
6,"Actinidiaceae","Gilg & Werderm."
7,"Actiniopteridaceae",""
8,"Adiantaceae",""
9,"Adoxaceae","E.Mey."
10,"Aextoxicaceae","Engl. & Gilg."
11,"Agavaceae",""
12,"Agdestidaceae",""
13,"Aizoaceae","Martynov"
14,"Akaniaceae","Stapf"
15,"Alangiaceae",""
16,"Alismataceae","Vent."
17,"Alliaceae",""
18,"Aloaceae",""
19,"Alseuosmiaceae","Airy Shaw"
20,"Alstroemeriaceae","Dumort."
21,"Alzateaceae",""
22,"Amaranthaceae","Juss."
23,"Amaryllidaceae","J.St.-Hil. nom. cons."
24,"Amborellaceae","Pichon"
25,"Anacardiaceae","(R.Br.) Lindl."
26,"Anarthriaceae","D.F.Cutler & Airy Shaw"
27,"Ancistrocladaceae","Planch. ex Walp."
28,"Anisophylleaceae",""
29,"Annonaceae","Juss."
30,"Anthericaceae",""
31,"Aphyllanthaceae",""
32,"Apocynaceae","Juss."
33,"Aponogetonaceae","Planch."
34,"Aquifoliaceae","DC. ex A.Rich."
35,"Araceae","Juss."
36,"Araliaceae","Juss."
37,"Aralidiaceae",""
38,"Araucariaceae",""
39,"Aristolochiaceae","Juss."
40,"Asclepiadaceae",""
41,"Asparagaceae","Juss."
42,"Asphodelaceae",""
43,"Aspleniaceae","Newm."
44,"Asteliaceae","Dumort."
45,"Asteropeiaceae","Takht. ex Reveal & Hoogland"
46,"Aucubaceae",""
47,"Austrobaileyaceae","Croizat"
48,"Avicenniaceae",""
49,"Azollaceae",""
50,"Balanitaceae",""
51,"Balanopaceae","Benth. & Hook.f."
52,"Balanophoraceae","Rich."
53,"Balsaminaceae","A.Rich."
54,"Barbeuiaceae","Nakai"
55,"Barbeyaceae","Rendle"
56,"Basellaceae","Raf."
57,"Bataceae","Mart. ex Perleb"
58,"Begoniaceae","C.Agardh"
59,"Berberidaceae","Juss."
60,"Betulaceae","Gray"
61,"Bignoniaceae","Juss."
62,"Bixaceae","Kunth"
63,"Blandfordiaceae","R.Dahlgren & Clifford"
64,"Blechnaceae","Newman 1844"
65,"Bombacaceae",""
66,"Boraginaceae","Juss."
67,"Boweniaceae",""
68,"Bretschneideraceae",""
69,"Bromeliaceae","Juss."
70,"Brunelliaceae","Engl."
71,"Bruniaceae","R.Br. ex DC."
72,"Buddlejaceae",""
73,"Burmanniaceae","Blume"
74,"Burseraceae","Kunth"
75,"Butomaceae","Mirb."
76,"Buxaceae","Dumort."
77,"Byblidaceae","Domin"
78,"Cabombaceae","Rich. ex A.Rich."
79,"Cactaceae","Juss."
80,"Calectasiaceae",""
81,"Callitrichaceae",""
82,"Calycanthaceae","Lindl."
83,"Calyceraceae","R.Br. ex Rich."
84,"Campanulaceae","Juss."
85,"Canellaceae","Mart."
86,"Cannabaceae","Martynov"
87,"Cannaceae","Juss."
88,"Canotiaceae",""
89,"Capparaceae","Juss."
90,"Caprifoliaceae","Juss."
91,"Cardiopteridaceae","Blume"
92,"Caricaceae","Dumort."
93,"Carlemanniaceae","Airy Shaw"
94,"Caryocaraceae","Voigt"
95,"Caryophyllaceae",""
96,"Casuarinaceae","R.Br."
97,"Cecropiaceae",""
98,"Celastraceae","R.Br."
99,"Centrolepidaceae","Endl."
100,"Cephalotaceae","Dumort."
101,"Cephalotaxaceae","Neger"
102,"Ceratophyllaceae","Gray"
103,"Cercidiphyllaceae","Engl."
104,"Cheiropleuriaceae",""
105,"Chenopodiaceae",""
106,"Chloranthaceae","R.Br. ex Sims"
107,"Chrysobalanaceae","R.Br."
108,"Circaeasteraceae","Hutch."
109,"Cistaceae","Juss."
110,"Clethraceae","Klotzsch"
111,"Cneoraceae",""
112,"Cobaeaceae",""
113,"Cochlospermaceae",""
114,"Colchicaceae","DC."
115,"Columelliaceae","D.Don"
116,"Combretaceae","R.Br."
117,"Commelinaceae","Mirb."
118,"Asteraceae","Bercht. & J.Presl"
119,"Connaraceae",""
120,"Convallariaceae",""
121,"Convolvulaceae","Juss."
122,"Coriariaceae","Mirb."
