"synonym_id","family_id"
512,373
513,506
515,514
516,273
517,190
518,495
2,423
520,424
521,22
522,383
523,401
524,349
525,397
526,401
7,397
527,135
528,491
529,317
8,397
530,381
531,393
532,214
534,533
535,265
536,423
537,23
538,38
11,41
12,372
539,413
540,214
541,437
542,310
15,123
543,413
544,168
17,23
545,334
546,423
18,505
547,214
548,509
549,95
550,497
552,118
553,461
554,294
555,491
556,499
558,413
559,416
561,393
562,66
563,183
564,214
566,565
567,463
568,41
570,401
571,491
572,214
573,397
574,56
575,118
30,41
576,422
577,214
579,578
580,378
581,286
582,397
583,414
31,41
587,578
588,118
589,345
591,473
592,401
593,378
37,594
595,183
596,422
597,183
598,118
599,393
601,35
602,174
603,422
604,381
605,118
606,320
607,214
608,214
609,39
40,32
611,610
612,273
613,214
614,414
42,505
615,41
616,271
617,273
618,403
619,118
621,135
623,105
624,440
46,199
625,416
626,461
627,214
628,347
629,161
48,1
630,183
631,420
49,421
50,511
632,74
633,214
634,335
635,271
636,134
637,146
638,41
639,134
640,419
642,311
643,190
644,71
647,422
648,578
649,294
650,25
651,105
652,245
653,424
654,169
655,338
65,298
657,433
658,83
659,349
660,416
663,36
664,334
67,507
68,14
665,98
667,298
668,212
669,23
670,133
671,116
72,433
672,114
673,424
674,114
675,298
676,273
677,35
80,146
679,118
680,35
681,134
682,387
81,378
683,280
686,221
687,468
689,422
88,98
690,344
691,98
692,118
693,60
694,514
695,117
696,273
697,118
698,409
699,270
700,437
701,337
97,492
702,310
703,86
704,214
706,23
101,461
707,273
708,397
709,413
710,225
711,349
713,440
714,285
715,214
716,154
717,349
718,337
719,397
104,164
720,352
721,378
722,98
723,308
724,201
725,265
726,214
728,118
729,401
730,414
731,341
732,499
111,416
112,385
113,62
735,134
736,414
737,214
738,413
740,118
741,280
742,223
120,41
743,401
744,66
745,118
746,393
747,105
748,600
749,416
125,60
750,349
752,201
753,61
754,448
755,190
756,130
757,35
758,397
759,135
761,135
762,509
764,121
765,84
136,463
766,463
767,133
140,533
768,280
769,118
770,214
771,214
772,84
773,84
774,345
775,203
776,23
780,52
781,16
782,473
783,491
784,123
149,134
785,269
786,22
787,290
788,115
789,273
152,414
790,505
791,95
792,121
793,386
794,207
795,416
157,76
796,203
158,62
798,90
799,378
800,168
801,416
802,171
803,59
804,183
806,416
163,90
808,226
809,423
810,298
811,454
167,41
812,35
813,503
815,413
816,388
817,294
170,440
818,496
819,298
820,105
821,214
822,118
823,66
824,214
825,169
