"id","genus","author","family_id"
1,"Cheilopsis","Moq.",1
2,"Haplanthoides","H. W. Li",1
3,"Haplanthus","Nees",1
4,"Indoneesiella","Sreem.",1
5,"Ancalanthus","Balf. f.",1
6,"Macrorungia","C. B. Clarke",1
7,"Symplectochilus","Lindau",1
8,"Himantochilus","T. Anderson ex Benth.",1
9,"Lepidacanthus","C. Presl",1
10,"Strobilorhachis","Klotzsch",1
11,"Aphelandrella","Mildbr.",1
12,"Lagochilium","Nees",1
13,"Amathea","Raf.",1
14,"Sreemadhavana","Rauschert",1
15,"Cuenotia","Rizzini",1
16,"Hemisandra","Scheidw.",1
17,"Hydromestus","Scheidw.",1
18,"Parasystasia","Baill.",1
19,"Asystasiella","Lindau",1
20,"Isochoriste","Miq.",1
21,"Styasasia","S. Moore",1
22,"Dicentranthera","T. Anderson",1
23,"Salpinctium","T. J. Edwards",1
24,"Parabarleria","Baill.",1
25,"Isaloa","Humbert",1
26,"Barleriacanthus","Oerst.",1
27,"Barlerianthus","Oerst.",1
28,"Barleriosiphon","Oerst.",1
29,"Barlerites","Oerst.",1
30,"Dicranacanthus","Oerst.",1
31,"Prionitis","Oerst.",1
32,"Acanthodium","Delile",1
33,"Blepharacanthus","Nees ex Lindl.",1
34,"Trichacanthus","Zoll. & Moritzi",1
35,"Periblema","DC.",1
36,"Oreacanthus","Benth.",1
37,"Androcentrum","Lem.",1
38,"Onychacanthus","Nees",1
39,"Ruelliola","Baill.",1
40,"Plaesianthera","(C. B. Clarke) Livera",1
41,"Leucoraphis","Nees",1
42,"Leucorhaphis","Nees",1
43,"Croftia","Small",1
44,"Chameranthemum","Nees",1
45,"Trybliocalyx","Lindau",1
46,"Acanthostelma","Bidgood & Brummitt",1
47,"Golaea","Chiov.",1
48,"Pleuroblepharis","Baill.",1
49,"Strobilacanthus","Griseb.",1
50,"Harrachia","Jacq.",1
51,"Polythrix","Nees",1
52,"Brochosiphon","Nees",1
53,"Dactylostegium","Nees",1
54,"Distichocalyx","T. Anderson ex Benth. & Hook. f.",1
55,"Calophanes","D. Don",1
56,"Chaetacanthus","Nees",1
57,"Phillipsia","Rolfe",1
58,"Tubiflora","J. F. Gmel.",1
59,"Sooia","Pocs",1
60,"Daedalacanthus","T. Anderson",1
61,"Paulowilhelmia","Hochst.",1
62,"Adelaster","Lindl. ex Veitch",1
63,"Parajusticia","Benoist",1
64,"Cryptophragmium","Nees",1
65,"Petracanthus","Nees",1
66,"Odontostigma","Zoll. & Moritzi",1
67,"Bremekampia","Sreem.",1
68,"Solenoruellia","Baill.",1
69,"Standleyacanthus","Leonard",1
70,"Pringleophytum","A. Gray",1
71,"Berginia","Harv.",1
72,"Lundellia","Leonard",1
73,"Kita","A. Chev.",1
74,"Synnema","Benth.",1
75,"Nomaphila","Blume",1
76,"Asteracantha","Nees",1
77,"Hemiadelphis","Nees",1
78,"Santapaua","N. P. Balakr. & Subr.",1
79,"Periestes","Baill.",1
80,"Amphiestes","S. Moore",1
81,"Plagiotheca","Chiov.",1
82,"Chingiacanthus","Hand.-Mazz.",1
83,"Strophacanthus","Lindau",1
84,"Schliebenia","Mildbr.",1
85,"Ecteinanthus","T. Anderson",1
86,"Tabascina","Baill.",1
87,"Calliaspidia","Bremek.",1
88,"Calymmostachya","Bremek.",1
89,"Dyspemptemorion","Bremek.",1
90,"Mananthes","Bremek.",1
91,"Plegmatolemma","Bremek.",1
92,"Psacadocalymma","Bremek.",1
93,"Rhyticalymma","Bremek.",1
94,"Sarojusticia","Bremek.",1
95,"Calophanoides","(C. B. Clarke) Ridl.",1
96,"Duvernoia","E. Mey. ex Nees",1
97,"Solenochasma","Fenzl",1
98,"Rhiphidosperma","G. Don",1
99,"Neohallia","Hemsl.",1
100,"Monechma","Hochst.",1
101,"Tyloglossa","Hochst.",1
102,"Libonia","K. Koch",1
103,"Dianthera","L.",1
104,"Aulojusticia","Lindau",1
105,"Centrilla","Lindau",1
106,"Chaetochlamys","Lindau",1
107,"Corymbostachys","Lindau",1
108,"Drejerella","Lindau",1
109,"Linocalyx","Lindau",1
110,"Rhacodiscus","Lindau",1
111,"Salviacanthus","Lindau",1
112,"Ixtlania","M. E. Jones",1
113,"Thamnojusticia","Mildbr.",1
114,"Adhatoda","Mill.",1
115,"Amphiscopia","Nees",1
116,"Anisostachya","Nees",1
117,"Beloperone","Nees",1
118,"Chaetothylax","Nees",1
119,"Cyrtanthera","Nees",1
120,"Gendarussa","Nees",1
121,"Heinzelia","Nees",1
122,"Hemichoriste","Nees",1
123,"Leptostachya","Nees",1
124,"Orthotactus","Nees",1
125,"Plagiacanthus","Nees",1
126,"Rhaphidospora","Nees",1
127,"Sarotheca","Nees",1
128,"Sericographis","Nees",1
129,"Simonisia","Nees",1
130,"Jacobinia","Nees ex Moric.",1
131,"Chaetothylopsis","Oerst.",1
132,"Chiloglossa","Oerst.",1
133,"Cyrtantherella","Oerst.",1
134,"Siphonoglossa","Oerst.",1
135,"Dimanisa","Raf.",1
136,"Emularia","Raf.",1
137,"Lustrinia","Raf.",1
138,"Rodatia","Raf.",1
139,"Stethoma","Raf.",1
140,"Rostellularia","Rchb.",1
141,"Kuestera","Regel",1
142,"Acelica","Rizzini",1
143,"Cyphisia","Rizzini",1
144,"Glosarithys","Rizzini",1
145,"Heteraspidia","Rizzini",1
146,"Lophothecium","Rizzini",1
147,"Pupilla","Rizzini",1
148,"Saglorithys","Rizzini",1
149,"Thalestris","Rizzini",1
150,"Bentia","Rolfe",1
151,"Porphyrocoma","Scheidw. ex Hook.",1
152,"Harnieria","Solms",1
153,"Synchoriste","Baill.",1
154,"Apolepsis","(Blume) Hassk.",1
155,"Volkensiophyton","Lindau",1
156,"Teliostachya","Nees",1
157,"Lophostachys","Pohl",1
158,"Lindauea","Rendle",1
159,"Liberatia","Rizzini",1
160,"Neolindenia","Baill.",1
161,"Odontonemella","Lindau",1
162,"Onus","Gilli",1
163,"Monachochlamys","Baker",1
164,"Afromendoncia","Gilg ex Lindau",1
165,"Lirayea","Pierre",1
166,"Schwabea","Endl. & Fenzl",1
167,"Pogonospermum","Hochst.",1
168,"Aphanandrium","Lindau",1
169,"Leucobarleria","Lindau",1
170,"Diateinacanthus","Lindau",1
171,"Phidiasia","Urb.",1
172,"Forsythiopsis","Baker",1
173,"Psiloesthes","Benoist",1
174,"Ramusia","Nees",1
175,"Pseudobarleria","T. Anderson",1
176,"Diotacanthus","Benth.",1
177,"Meninia","Fua ex Hook. f.",1
178,"Cystacanthus","T. Anderson",1
179,"Haselhoffia","Lindau",1
180,"Warpuria","Stapf",1
