"code","region","continentID","iso_code","id"
42,"Malesia",3,"",26
43,"Papuasia",3,"",27
60,"Southwestern Pacific",5,"",30
61,"South-Central Pacific",5,"",31
62,"Northwestern Pacific",5,"",32
63,"North-Central Pacific",5,"",33
82,"Northern South America",7,"",46
83,"Western South America",7,"",47
80,"Central America",7,"",44
81,"Caribbean",7,"",45
84,"Brazil",7,"",48
85,"Southern South America",7,"",49
24,"Northeast Tropical Africa",1,"",9
25,"East Tropical Africa",1,"",10
26,"South Tropical Africa",1,"",11
27,"Southern Africa",1,"",12
20,"Northern Africa",1,"",5
21,"Macaronesia",1,"",6
22,"West Tropical Africa",1,"",7
23,"West-Central Tropical Africa",1,"",8
28,"Middle Atlantic Ocean",1,"",13
29,"Western Indian Ocean",1,"",14
40,"Indian Subcontinent",3,"",24
41,"Indo-China",3,"",25
51,"New Zealand",4,"",29
77,"South-Central U.S.A.",6,"",41
76,"Southwestern U.S.A.",6,"",40
75,"Northeastern U.S.A.",6,"",39
38,"Eastern Asia",2,"",23
73,"Northwestern U.S.A.",6,"",37
72,"Eastern Canada",6,"",36
71,"Western Canada",6,"",35
70,"Subarctic America",6,"",34
91,"Antarctic Continent",8,"",51
90,"Subantarctic Islands",8,"",50
79,"Mexico",6,"",43
78,"Southeastern U.S.A.",6,"",42
11,"Middle Europe",0,"",1
10,"Northern Europe",0,"",0
13,"Southeastern Europe",0,"",3
12,"Southwestern Europe",0,"",2
14,"Eastern Europe",0,"",4
33,"Caucasus",2,"",18
32,"Middle Asia",2,"",17
31,"Russian Far East",2,"",16
30,"Siberia",2,"",15
37,"Mongolia",2,"",22
36,"China",2,"",21
35,"Arabian Peninsula",2,"",20
34,"Western Asia",2,"",19
74,"North-Central U.S.A.",6,"",38
50,"Australia",4,"",28
