id,hybrid,genus,author,synonym_id,family_id
"24904","","Acanthodium","Delile","8834","1"
"8801","","Acanthopale","C.B.Clarke","","1"
"8802","","Acanthopsis","Harv.","","1"
"15961","","Acanthostelma","Bidgood & Brummitt","","1"
"8803","","Acanthura","Lindau","","1"
"8804","","Acanthus","L.","","1"
"20529","","Acelica","Rizzini","8942","1"
"8805","","Achyrocalyx","Benoist","","1"
"25483","","Adelaster","Lindl. ex Veitch","8908","1"
"8806","","Adenacanthus","Nees","9075","1"
"8807","","Adenostachya","Bremek.","9075","1"
"16180","","Adhatoda","Mill.","8942","1"
"8808","","Aechmanthera","Nees","","1"
"8809","","Afrofittonia","Lindau","","1"
"15974","","Afromendoncia","Gilg ex Lindau","8972","1"
"24940","","Amathea","Raf.","8822","1"
"8810","","Ambongia","Benoist","","1"
"24906","","Amphiestes","S.Moore","8935","1"
"20530","","Amphiscopia","Nees","8942","1"
"20539","","Ancalanthus","Balf.f.","8815","1"
"8811","","Ancistranthus","Lindau","","1"
"8812","","Ancylacanthus","Lindau","9028","1"
"8813","","Androcentrum","Lem.","8838","1"
"8814","","Andrographis","Wall. ex Nees","","1"
"8815","","Angkalanthus","Balf.f.","","1"
"8816","","Anisacanthus","Nees","","1"
"8817","","Anisosepalum","E.Hossain","","1"
"20531","","Anisostachya","Nees","8942","1"
"8818","","Anisotes","Nees","","1"
"8819","","Anomacanthus","R.D.Good","","1"
"8820","","Anthacanthus","Nees","","1"
"20519","","Antheliacanthus","Ridl.","9020","1"
"8821","","Apassalus","Kobuski","","1"
"20518","","Aphanandrium","Lindau","8982","1"
"22324","","Aphanosperma","T.F.Daniel","","1"
"8822","","Aphelandra","R.Br.","","1"
"8823","","Aphelandrella","Mildbr.","","1"
"24941","","Aphragmia","Nees","9037","1"
"24942","","Apolepsis","(Blume) Hassk.","8952","1"
"20499","","Arrhostoxylum","Nees","9037","1"
"8824","","Ascotheca","Heine","","1"
"20493","","Asteracantha","Nees","8933","1"
"8825","","Asystasia","Blume","","1"
"20517","","Asystasiella","Lindau","","1"
"8826","","Aulojusticia","Lindau","8942","1"
"15193","","Averia","Leonard","8942","1"
"8827","","Ballochia","Balf.f.","","1"
"8828","","Baphicacanthus","Bremek.","9075","1"
"8829","","Barleria","L.","","1"
"20511","","Barleriacanthus","Oerst.","8829","1"
"20509","","Barlerianthus","Oerst.","8829","1"
"8830","","Barleriola","Oerst.","","1"
"20510","","Barleriosiphon","Oerst.","8829","1"
"20514","","Barlerites","Oerst.","8829","1"
"20532","","Beloperone","Nees","8942","1"
"8831","","Benoicanthus","Heine & A.Raynal","","1"
"20533","","Bentia","Rolfe","8942","1"
"8832","","Berginia","Harv.","8930","1"
"8833","","Blechum","P.Browne","","1"
"24908","","Blepharacanthus","Nees ex Lindl.","8834","1"
"8834","","Blepharis","Juss.","","1"
"8835","","Borneacanthus","Bremek.","","1"
"8836","","Boutonia","DC.","","1"
"8837","","Brachystephanus","Nees","","1"
"8838","","Bravaisia","DC.","","1"
"14176","","Bremekampia","Sreem.","22085","1"
"8839","","Brillantaisia","P.Beauv.","","1"
"24969","","Brochosiphon","Nees","8883","1"
"22083","","Brunoniella","Bremek.","","1"
"8840","","Buceragenia","Greenm.","","1"
"24911","","Butayea","De Wild.","9052","1"
"8841","","Buteraea","Nees","9075","1"
"8842","","Calacanthus","T.Anderson ex Benth.","","1"
"24912","","Calliaspidia","Bremek.","8942","1"
"20496","","Calophanes","D.Don","8895","1"
"8843","","Calophanoides","(C.B.Clarke) Ridl.","8942","1"
"8844","","Calycacanthus","K.Schum.","","1"
"8845","","Calymmostachya","Bremek.","8942","1"
"8846","","Camarotea","Scott-Elliot","","1"
"20494","","Cardanthera","Buch.-Ham. ex Benth.","8933","1"
"8847","","Cardiacanthus","Nees & Schauer","8848","1"
"8848","","Carlowrightia","A.Gray","","1"
"8849","","Carvia","Bremek.","9075","1"
"8850","","Celerina","Benoist","","1"
"8851","","Centrilla","Lindau","","1"
"8852","","Cephalacanthus","Lindau","","1"
"8853","","Chaetacanthus","Nees","","1"
