"basic_unit_id","code","synonym","notes","region_id","continent_id","place","id","botanical_country_id"
29,"344","African Is.","part of Amirante group",15,2,"African Banks",64,8
339,"345","","",15,2,"Agalega",65,182
185,"346","","",16,3,"Aginsky Buryat",66,85
359,"347","","",33,6,"Agrihan",67,199
593,"340","","",21,3,"Aden",60,364
61,"341","","",27,4,"Admiralty Is.",61,32
410,"342","","",19,3,"Adygeysk",62,219
528,"343","","",19,3,"Adzhariya",63,319
371,"348","","",44,7,"Aguascalientes",68,207
211,"349","Aland Is.","",1,1,"Ahvenanmaa",69,107
110,"1653","Central African Republic","",9,2,"Oubangui Shari",1360,51
222,"2318","","",2,1,"West Berlin",2025,116
"","2319","British Cameroons","split between areas 10 A West Tropical Africa and 10 B Cameroons and Congo of Kew system","",2,"West Cameroons",2026,""
219,"2316","","",48,8,"Wenman I.",2023,113
273,"2317","","",25,4,"West Bengal",2024,137
572,"2314","","[state]",38,7,"Washington",2021,352
567,"2315","Ko Way","",26,4,"Way I.",2022,347
575,"2312","","",43,7,"Washington DC",2019,354
328,"2313","","",32,6,"Washington I.",2020,174
436,"2310","","",31,6,"Walpole I.",2017,239
402,"2311","","",13,2,"Walvis Bay",2018,214
53,"2147","","",7,2,"Terceira",1854,25
37,"1780","","part of Australian Antarctic Territory",52,9,"Queen Mary Land",1487,15
328,"2146","","",32,6,"Teraina",1853,174
76,"2268","","",36,7,"Vancouver I.",1975,41
491,"2269","","",31,6,"Vanikoro I.",1976,289
272,"2262","","",25,4,"Uttar Pradesh",1969,137
491,"2263","","",31,6,"Utupua I.",1970,289
498,"2260","","",4,1,"Ustica",1967,295
561,"2261","","",41,7,"Utah",1968,341
550,"2266","","",31,6,"Vaitupu",1973,334
157,"2267","","",50,8,"Valparaíso",1974,67
571,"2264","","one of Wallis Is.",31,6,"Uvea",1971,351
562,"2265","","",18,3,"Uzbekistan",1972,342
290,"2442","","",24,3,"Uoshima",2141,147
290,"2443","","",24,3,"Omi-shoto",2142,147
290,"2440","","",24,3,"Nako-jima",2139,147
288,"2441","","",24,3,"Kurahashi-jima",2140,147
469,"1781","","excluding Coral Sea Is. Territory",29,5,"Queensland",1488,269
288,"2447","","",24,3,"Ya-shima",2146,147
288,"2444","","",24,3,"Inno-shima",2143,147
290,"2445","","",24,3,"Hakata-shima",2144,147
289,"2448","","",24,3,"Hime-shima",2147,147
288,"2449","","",24,3,"Naga-shima",2148,147
339,"2046","","",15,2,"St.Brandon",1753,182
324,"2047","St.Kitts","",46,8,"St.Christopher",1754,172
325,"2044","","",46,8,"St.Barthélémy",1751,172
325,"2045","St.Barthelemy","",46,8,"St.Bartholomew",1752,172
509,"2042","","",25,4,"Sri Lanka",1749,303
495,"2043","","",15,2,"St.Anne I.",1750,293
490,"2040","","",26,4,"Spratly Is.",1747,288
599,"2041","Serbia","",4,1,"Srbija",1748,365
326,"2048","","",46,8,"St.Croix",1755,172
323,"2049","Sint Eustatius","",46,8,"St.Eustatius",1756,172
219,"1373","","",48,8,"Marchena I.",1083,113
302,"1783","Cheju Do","",24,3,"Quelpart I.",1490,158
516,"2038","","",1,1,"Spitsbergen",1745,310
576,"1001","","",25,4,"Himachal Pradesh",712,355
482,"1623","","",31,6,"Ofu",1330,282
463,"1622","","",32,6,"Oeno I.",1329,264
332,"1621","East Timor","",27,4,"Ocussi Ambeno",1328,176
228,"1620","Banaba","",31,6,"Ocean I.",1327,119
288,"1627","","",24,3,"Oki",1334,147
448,"1626","","",40,7,"Ohio",1333,250
155,"1625","","",50,8,"O'Higgins",1332,69
447,"1624","","",24,3,"Ogasawara-shoto",1331,249
318,"1999","","",46,8,"Snake I.",1706,172
475,"1998","","",5,1,"Smolensk",1705,275
427,"1629","","I. Prefecture of Japan",24,3,"Okinawa",1336,231
427,"1628","","one of Dainto Is.",24,3,"Okina Daito",1335,231
68,"559","Belize","",45,8,"British Honduras",270,36
238,"558","Guyana","",47,8,"British Guiana",269,127
189,"1217","Cyprus","",20,3,"Kyproz",928,89
422,"555","","",8,2,"British Cameroons North",266,227
76,"557","","",36,7,"British Columbia",268,41
165,"556","","",9,2,"British Cameroons South",267,71
"","551","","",49,8,"Brazil West-Central",263,45
"","550","","",49,8,"Brazil Southeast",262,47
438,"553","","",27,4,"Bristow I.",265,240
80,"552","","",49,8,"Brazilia Distrito Federal",264,45
410,"1199","","",19,3,"Krasnodar",910,219
288,"1198","","",24,3,"Kozu-shima",909,147
302,"1191","","",24,3,"Korea, Republic of",902,158
301,"1190","","",24,3,"Korea, People's Democratic Republic of",901,158
