"areaID","synonym","name","stateID","notes","regionID","id","kew_regionID"
123,"Abu Zabi;  United Arab Emirates","Abu Dhabi",234,"",21,1,1
2,"","Afghanistan",2,"",20,2,1
123,"United Arab Emirates","Ajman",234,"",21,3,1
106,"","Åland Is.",210,"self-governing I. province of Finland",1,4,2
7,"","Albania",28,"",4,5,2
11,"","Aleutian Is.",32,"territory of U.S.A.",35,6,3
9,"","Algeria",30,"",6,7,4
281,"","American Samoa",481,"unincorporated territory of U.S.A.",31,8,5
301,"","Andorra",504,"principality under Franco-Spanish sovereignty",3,9,2
14,"","Angola",36,"excluding Cabinda",12,10,6
171,"","Anguilla",317,"U.K. dependent territory",46,11,7
171,"","Antigua-Barbuda",316,"",46,12,7
317,"","Armeniya",527,"",19,13,1
18,"","Aruba",40,"self-governing I. of Netherlands Antilles",46,14,7
19,"","Ascension",41,"I. Dependency of St.Helena",14,15,8
351,"","Ashmore and Cartier Is.",571,"External Territory of Australia",29,16,9
"","Region 50 Australia","Australia","","",29,17,9
15,"","Australian Antarctic Territory",37,"",52,18,10
24,"","Austria",51,"",2,19,2
317,"Azerbaydzhan","Azerbaijan",528,"",19,20,1
25,"","Azores",53,"self-governing I. Region of Portugal",7,21,11
26,"","Bahamas",54,"",46,22,7
123,"","Bahrain",232,"",21,23,1
28,"","Bangladesh",56,"",25,24,12
354,"","Barbados",577,"",46,25,7
308,"Bjornoya","Bear I.",514,"I. of Svalbard (to Norway)",1,26,2
31,"","Belgium",59,"",2,27,2
36,"","Belize",68,"",45,28,13
34,"Belarus","Belorussiya",63,"",5,29,2
29,"","Benin",57,"",8,30,14
30,"","Bermuda",58,"self-governing U.K. Crown Colony",46,31,7
99,"","Bhutan",201,"",25,32,12
116,"","Bioko",223,"I. of Equatorial Guinea",9,33,15
37,"","Bolivia",69,"",48,34,16
229,"","Bonaire",424,"self-governing I. of Netherlands Antilles",46,35,7
248,"Ogasawara-Shoto","Bonin Is.",446,"Is. of Japan",24,36,17
"","","Bophutatswana","","Transvaal or Cape Province",13,37,18
38,"","Borneo","","comprises Brunei, Kalimantan, Sabah, Sarawak",27,38,19
363,"Bosnia-Herzegovina","Bosnia",592,"",4,39,2
39,"","Botswana",74,"",13,40,6
299,"","Bougainville",501,"part of Papua New Guinea",31,41,20
"","Region 84 Brazil","Brazil","","",49,42,21
15,"","British Antarctic Territory",37,"U.K. dependent territory",52,43,10
368,"","British Indian Ocean Territory",114,"U.K. dependent territory comprising Chagos Archipelago",25,44,22
38,"","Brunei",70,"",27,45,19
43,"","Bulgaria",78,"",4,46,2
33,"","Burkina",62,"",8,47,14
212,"Myanmar","Burma",400,"",26,48,12
44,"","Burundi",79,"",9,49,15
54,"","Cambodia",113,"",26,50,23
298,"","",500,"",10,51,24
118,"","Abemama",227,"",31,52,5
317,"","",525,"",19,53,1
103,"Ethiopia","Abyssinia",207,"",10,54,24
26,"","Acklins I.",54,"",46,55,7
25,"","Açôres",53,"",7,56,11
48,"","Acre",99,"",49,57,21
327,"","Actaeon Group",543,"",32,58,25
186,"","Addu Atoll",343,"",25,59,12
362,"","Aden",591,"",21,60,1
32,"","Admiralty Is.",61,"",27,61,26
218,"","Adygeysk",409,"",19,62,1
317,"","Adzhariya",526,"",19,63,1
8,"African Is.","African Banks",29,"part of Amirante group",15,64,22
181,"","Agalega",338,"",15,65,22
84,"","Aginsky Buryat",184,"",16,66,27
